;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
Антизакручиватель(AF), шт;;;;;23,000;138,00;345,00
"Антипрокольный наполнитель для камер ""AEROPAK"" 500ml, шт";;;;;3,000;;2 160,00
Ароматизатор спрей в ассорт., шт;;;;;2,000;64,00;220,00
Ба-и. в ассортименте, шт;;;;;2,000;260,62;480,00
Бабочка 0156, шт;;;;;5,000;;
"Багажник TRIX задний 24-29"", для дисковых тормозов, алюминиевый, черный, шт";;;;;1,000;;2 450,00
"Багажник TRIX задний,  20"", стальной, хром (50), шт";;;;;2,000;;1 320,00
"Багажник TRIX задний,  24"", стальной, хром (40), шт";;;;;1,000;;720,00
"Багажник TRIX задний,  26"", стальной, хром, шт";;;;;1,000;;750,00
"Багажник TRIX задний,  28"", стальной, усиленный, сереб.(10), шт";;;;;1,000;;820,00
Баллончик аэрозольн.Anti Dog  65мл. 5493, шт;;;;;1,000;;780,00
Баллончик пневм.Borner 12gr (7716), шт;;;;;29,000;580,00;1 740,00
Бант на ёлку  (мал) 3шт, шт;;;;;1,000;;100,00
Бант на ёлку  657, шт;;;;;1,000;200,00;530,00
Бант на ёлку  659, шт;;;;;3,000;810,00;1 320,00
"Бант на ёлку мешковина с орнаментом ""Ёлочки"" бол. d=0.14*0,12 12 шт. белый с краснымGBN-03/1, шт";;;;;11,000;;440,00
Бант со шлейфом  бордовый  2507-50-220  (10044282), шт;;;;;1,000;497,00;2 600,00
Бантик 0048, шт;;;;;1,000;;
Барашек 509320, шт;;;;;1,000;;
Бассейн  Радуга 86х25см INTEX 58924 1-3 года, шт;;;;;1,000;100,00;780,00
Бассейн Голубое небо 147х33 см INTEX 58426, шт;;;;;1,000;;1 250,00
"Бассейн квадр.надувной ""Рыбки""  159х159х 50см (57471), шт";;;;;1,000;;3 990,00
"Бассейн надувной ""Арбуз""  надувной 168х38 см Intex 58448, шт";;;;;1,000;76,00;2 100,00
"Бассейн с плоским бортом ""Утиный риф"" 122*25 см Intex 58477, шт";;;;;2,000;;2 100,00
"Батут 40 "" (05892), шт";;;;;1,000;2 282,50;5 190,00
Бенгальские огни  17см, шт;;;;;8,000;48,00;560,00
Беруши /31575      07354, шт;;;;;4,000;;440,00
Беруши 33556  (07669), шт;;;;;1,000;39,20;130,00
Беруши д\пл.F-0122   (00266), шт;;;;;12,000;864,00;360,00
Беспроводной указатель поворотов FR-1285 (USB), шт;;;;;1,000;60,00;1 250,00
Бинт бокс. 3 м Srinter (хлопок эластичный ) 02488, шт;;;;;3,000;;900,00
Бинт бокс. 4.0 м( хлопок)  Sprinter (03749), шт;;;;;3,000;;960,00
Бинт бокс. BoyBo 3.5 м( хлопок- эласт.) (07128), шт;;;;;1,000;;400,00
Бинт бокс. BoyBo 4.5 м( хлопок- эласт.)  (06586), шт;;;;;3,000;;1 560,00
Бинт бокс. BoyBo 4.5 м( хлопок)   07980 , шт;;;;;2,000;714,00;600,00
Бинт бокс.BoyBo 2,5м (хлопок ) 00103д(00789), шт;;;;;2,000;;640,00
Бинт бокс.BoyBo 2,5м (хлопок эластичн.) 00784, шт;;;;;1,000;115,37;370,00
Бинт бокс.Sprinter  4м (хлопок эластичн.) 02089, шт;;;;;4,000;547,80;1 360,00
Бинт бокс.Sprinter 2.7м (хлопок) 01831, шт;;;;;1,000;;240,00
Бинты OxxFire хлопок-эластан, Черный (1.5 м), шт;;;;;1,000;;240,00
Бинты OxxFire хлопок-эластан, Черный (2.5 м), шт;;;;;1,000;;260,00
Бинты OxxFire хлопок, Красный (2.5 м), шт;;;;;2,000;;560,00
Бинты OxxFire хлопок, Синий (2.5 м), шт;;;;;1,000;;280,00
"Бита 25"" дерево (01334  ), шт";;;;;1,000;270,00;750,00
"Бита 25"" цветн. ал. (01335), шт";;;;;1,000;;850,00
"Бита 29"" дерево (01336), шт";;;;;1,000;264,00;850,00
"Бита 30"" цветн. ал. (01364), шт";;;;;1,000;;1 050,00
"Бита 32"" цветн. ал.   00463, шт";;;;;1,000;;1 070,00
"Бита алюм. 28""  (01059), шт";;;;;1,000;261,45;970,00
"Бита дерев. 21""   01337   , шт";;;;;2,000;376,00;1 440,00
Блесна -быстряшка  (Murena), шт;;;;;3,000;;210,00
Блесна AsianFish, шт;;;;;4,000;132,00;280,00
Блесна Kastmaster (AF)  21гр-22гр, шт;;;;;3,000;105,00;270,00
Блесна Лягушка силик.Pike Hunter, шт;;;;;5,000;650,00;2 250,00
Блесна-вертушка, шт;;;;;1,000;35,00;70,00
Блок опорный д/йоги  (03280), шт;;;;;3,000;659,85;990,00
