;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
Bluetooth адаптер для магнитол  Орбита OT-PCB01 (выход 3,5 , шнур в коплекте ), шт;;;;;1,000;200,00;350,00
Bluetooth адаптер для магнитол  Орбита PCB07  (выход 3,5  ), шт;;;;;1,000;160,00;280,00
Bluetooth адаптер для магнитол BT-CR14  (выход 3,5  ), шт;;;;;1,000;380,00;650,00
Bluetooth адаптер Орбита OT-PCB09 металл (BTA10-TA11) (V4.2), шт;;;;;2,000;280,00;560,00
Bows-1/2 Смычок для скрипки размером 1/2, Carayа, шт;;;;;1,000;667,00;1 130,00
Bows-3/4 Смычок для скрипки размером 3/4, Carayа, шт;;;;;1,000;667,00;1 130,00
BS-01Bridge-WH Звукосниматель магнитный, сингл, бриджевый, белый, Belcat, шт;;;;;1,000;382,00;650,00
BX-2 Bluetooth аудио приемник, Alctron, шт;;;;;1,000;1 916,00;3 100,00
BXX003B-5 Кабель микрофонный XLR, 5м, Soundking, шт;;;;;1,000;742,00;1 250,00
C5 Микрофон петличный, LAudio, шт;;;;;1,000;686,00;1 170,00
C500M Criterion Комплект струн для акустической гитары, бронза, Medium, 13-56, La Bella, шт;;;;;1,000;410,40;950,00
"C800 Criterion Комплект струн для классической гитары.бронзовой ""золотой"" оплётке.  La Bella США, шт";;;;;2,000;1 316,00;2 300,00
CA102 Разъем на кабель XLR male 3Р, Soundking, шт;;;;;5,000;340,00;600,00
CA121 Разъем на кабель XLR female 5Р 5-пиновый, Soundking, шт;;;;;5,000;735,00;1 250,00
CA122 Разъем на кабель XLR male 5Р, Soundking, шт;;;;;4,000;608,00;1 040,00
Camelion Ultra BL-4 LR03 (LR03-BP4UT, батарейка 1.5В), шт;;;;;1,000;40,90;65,00
Camelion Ultra BL-4 LR6 (LR6-BP4UT, батарейка 1.5В), шт;;;;;4,000;163,60;260,00
CB-40-NA Бас-гитара, Clevan, шт;;;;;1,000;14 461,00;24 300,00
CC113 Разъем на кабель 1/4” Male (6,35мм), моно, Soundking, шт;;;;;6,000;654,00;1 140,00
CC150 Разъем на кабель 1/4” Male (6,35мм) угловой, моно, Soundking, шт;;;;;2,000;252,00;440,00
