;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
Лампа светодиод SONNEN EXTRA 15 (130) Вт GX53  холод белый LED 15W-6500-GX53, 457936, шт;;;;;8,000;500,40;880,00
Лампа светодиодн.для фото и дизайна, шт;;;;;2,000;4 200,00;6 200,00
Лампа светодиодная   8Вт Е14 6500К 760Лм LED-СВЕЧА-VC 1/100 IN HOME, шт;;;;;5,000;238,30;425,00
Лампа светодиодная  11Вт Е14 4000К 1050Лм LED-СВЕЧА-VC 1/100 IN HOME, шт;;;;;2,000;99,02;180,00
Лампа светодиодная  9Вт LED9W-GX53/4000K/GX53/FR/NR (9Вт=70) матовая. Серия Norma, шт;;;;;3,000;176,49;300,00
Лампа светодиодная  PLED-G4  3W 4000K 175-240V/50 (3W=20Вт, 200Lm) силикон jaZZway, шт;;;;;6,000;517,44;870,00
Лампа светодиодная  PLED-G4 COB 2,5W 5500K 12В (2,5W=20Вт, 200Lm) (силикон 10*39мм) Jazzway, шт;;;;;3,000;387,75;660,00
Лампа светодиодная  PLED-G9 5W 4000K 220/50 (5W=30Вт, 320Lm) jaZZway, шт;;;;;2,000;227,46;390,00
Лампа светодиодная  PLED-G9 7W 4000K 220/50 (7W=40Вт, 400 Lm) jaZZway, шт;;;;;1,000;146,98;250,00
Лампа светодиодная  PLED-G9 PRO 6w  4000K 480Lm 230V d16,5*55mm Jazzway, шт;;;;;3,000;352,29;600,00
Лампа светодиодная 11 Вт Рефлектор LED-R63-11W/4000K/E27/FR/NR матовая Серия Norma.  TM Volpe, шт;;;;;3,000;314,25;540,00
Лампа светодиодная 11Вт Е14 4000К 820Лм LED-ШАР-VC 1/10/100 IN HOME, шт;;;;;4,000;199,64;360,00
Лампа светодиодная 11Вт свеча Е27 матовая (11Вт=100) LED11W-C37/4000/E27/FR/NR Серия Norma Volpe, шт;;;;;5,000;458,75;750,00
Лампа светодиодная 11Вт шар Е27 4000К (11Вт=100Вт) LED-G45-11W/NW/E27/FR/NR ТМ Volpe, шт;;;;;1,000;91,85;160,00
Лампа светодиодная 12Вт LED12W-A60/865/E27 (12Вт=100 1000 Lm) Volpe, шт;;;;;9,000;504,36;855,00
Лампа светодиодная 15Вт LED15W-GX53/4000K/GX53/FR/NR (15Вт=120) матовая Серия Norma., шт;;;;;5,000;392,20;675,00
Лампа светодиодная 16Вт LED16W-A60/840/E27 (16Вт=150 1450 Lm) Серия Norma Volpe, шт;;;;;6,000;594,48;1 020,00
Лампа светодиодная 16Вт LED16W-A60/865/E27 (16Вт=150 1450 Lm) Серия Norma Volpe, шт;;;;;9,000;891,72;1 530,00
Лампа светодиодная LED-A60-VC 10Вт 230В Е27 6500К 900Лм IN HOME, шт;;;;;3,000;139,50;255,00
Лампа светодиодная LED-A60-VC 12Вт 230В Е27 4000К 1080Лм IN HOME, шт;;;;;4,000;201,20;360,00
Лампа светодиодная LED-A60-VC 15Вт 230В Е27 6500К 1430Лм (1/10/100) IN HOME, шт;;;;;12,000;647,16;1 140,00
Лампа светодиодная LED-JCD-4,5W/4000K/G9/CL/SLS ТМ Volpe, шт;;;;;10,000;350,00;650,00
Лампа светодиодная LED-JCD-7W/4000K/G9/CL/SLSТМ Volpe, шк 46904851, шт;;;;;2,000;257,86;440,00
Лампа светодиодная PLED-GX53 15W 4000K (15W=130Вт, 1260Lm) 230/50 Jazzway, шт;;;;;4,000;378,56;640,00
Лампа светодиодная PLED-GX53 15W 5000K (15W=130Вт, 1300Lm) 230/50 Jazzway, шт;;;;;6,000;567,84;960,00
Лампа светодиодная SONNEN EXTRA 12 (110) Вт GU5.3 нейтральный белый LED GU5.3-12W-4000, 457921, шт;;;;;15,000;656,85;1 200,00
Лампа светодиодная Рефлектор PLED- SP R63  8W E27 5000K (8W=60Вт, 630Lm) 230/50 Jazzway, шт;;;;;2,000;240,64;400,00
Лампа светодиодная свеча PLED- SP C37  9W E27 3000K-E (9W=75Вт, 820Lm) 230/50 Jazzway, шт;;;;;1,000;79,56;135,00
Лампа светодиодная шар PLED- SP G45  9W E27 4000K-E (9W=75Вт, 820Lm) 230/50 Jazzway, шт;;;;;1,000;81,63;140,00
Лампа светодиодная шар PLED- SP G45  9W E27 5000K-E (9W=75Вт, 820Lm) 230/50 Jazzway, шт;;;;;1,000;69,35;120,00
Лампа электрическая настольная LN-029 Белая LED 36см.(120), шт;;;;;1,000;352,00;600,00
Лампа электрическая настольная LN-029 Зеленая LED 36см.(120), шт;;;;;1,000;352,00;600,00
Лампа энергосберегающ.в ассорт., шт;;;;;15,000;1 650,00;1 350,00
Лампа энергосберегающая ESL-PL-11/4000/G23 Long, шт;;;;;7,000;826,00;1 400,00
Лампа энергосберегающая ESL-PL-9/4000/G23, шт;;;;;2,000;213,68;360,00
Лампа11W свеча светодиодная PLED- SP C37 11W E14 4000K (11W=95Вт, 950Lm) 230/50 Jazzway, шт;;;;;2,000;180,26;310,00
Лампочка  25w Е27                   13х15, шт;;;;;15,000;304,20;525,00
Лампочка  40w Е27, шт;;;;;16,000;324,48;560,00
Лампочка  60w Е27, шт;;;;;15,000;304,20;525,00
Лампочка  75w Е27, шт;;;;;2,000;40,56;70,00
Лампочка  95w Е27, шт;;;;;10,000;199,20;350,00
Лампочка  Camelion  FPL  27W  GY109    5х125, шт;;;;;1,000;;125,00
Лампочка  Camelion  FT4  21 W      7х80, шт;;;;;5,000;;400,00
Лампочка  Camelion  FT4  6 W      7х70, шт;;;;;1,000;;70,00
Лампочка  Camelion  FT4  8 W      7х80, шт;;;;;1,000;92,11;160,00
Лампочка  Camelion  FT5  28 W 154    10х90, шт;;;;;10,000;;900,00
Лампочка  Camelion  FT5  8 W , шт;;;;;2,000;134,20;220,00
Лампочка  Camelion R 63 E 27 40w, шт;;;;;1,000;31,69;50,00
Лампочка  Camelion R 63 E 27 60w  зерк.матов     5х50, шт;;;;;2,000;131,86;220,00
Лампочка  Camelion R50 E14 40w ------------------------------------, шт;;;;;1,000;25,02;45,00
Лампочка  свеча 40 w E-14 матов    10х25, шт;;;;;10,000;392,40;650,00
Лампочка  свеча 40 w E-14 прозр.   х25, шт;;;;;6,000;177,18;300,00
Лампочка  свеча 40 w E-27 , шт;;;;;19,000;493,05;855,00
Лампочка  свеча 40 w E-27 матов., шт;;;;;25,000;709,25;1 125,00
Лампочка  свеча 60 w E-14   матов.      1х25, шт;;;;;7,000;226,10;385,00
Лампочка  свеча 60 w E-14  прозр., шт;;;;;4,000;124,04;200,00
Лампочка  свеча 60 w E-27 матов.    4х25, шт;;;;;15,000;425,55;675,00
Лампочка  свеча 60 w E-27 прозр., шт;;;;;1,000;28,67;50,00
Лампочка  шарик 40 w E-14   матов.    19х25, шт;;;;;20,000;567,20;1 000,00
Лампочка  шарик 40 w E-14  прозр.    10х25, шт;;;;;6,000;155,70;240,00
Лампочка  шарик 40 w E-27 матов., шт;;;;;1,000;35,90;60,00
Лампочка  шарик 40 w E-27 прозр.     х25, шт;;;;;4,000;94,64;240,00
Лампочка  шарик 60 w E-14   матов.    4х25, шт;;;;;1,000;28,25;45,00
Лампочка  шарик 60 w E-14  прозр.    15х25, шт;;;;;5,000;136,30;225,00
Лампочка  шарик 60 w E-27   матов.    , шт;;;;;3,000;96,45;165,00
Лампочка  шарик 60 w E-27 прозр.    х25, шт;;;;;1,000;31,61;50,00
Лампочка JCDR 20w  220v  Ø35мм GU5,3         , шт;;;;;1,000;;45,00
Лампочка R7S 150w 220v (прожект)   78мм    2х50, шт;;;;;1,000;49,25;80,00
Лампочка R7S 500w 220v (прожект)       3х50, шт;;;;;3,000;255,66;435,00
Лампочка для светильн. 10вт, шт;;;;;53,000;477,00;1 590,00
Лампочка для холодилн. Camelion 15W E14, шт;;;;;5,000;182,45;300,00
Лампочка для холодильн. 15w 220v, шт;;;;;11,000;143,00;330,00
Лампочка капсульн.G9  25w 220v        х50, шт;;;;;5,000;241,00;400,00
Лампочка капсульн.энергосбер.9w  Е14 LH9  1х110, шт;;;;;1,000;;110,00
"Лампочка светод.""Вспышка неона"", шт";;;;;1,000;;480,00
Лампочка светод.с мотором Звёздное небо(130-99), шт;;;;;1,000;109,25;250,00
Лампочка светод.с пультом управл.цветная (б), шт;;;;;1,000;290,00;490,00
Ланч бокс для еды с подогревом HS-2037(30), шт;;;;;1,000;619,00;990,00
Ледоступы (каучук) 4 шипа, шт;;;;;6,000;390,00;1 200,00
Ледоступы (каучук) 5 шипов, шт;;;;;4,000;260,00;1 000,00
"Лезвие ""Астор"", шт";;;;;21,000;714,00;1 260,00
"Лезвие ""Спутник"", шт";;;;;8,000;312,00;640,00
Лезвие Gillette  (5шт), шт;;;;;11,000;379,50;660,00
Лезвие Рапира чёрные, шт;;;;;10,000;140,00;350,00
Лезвие сменное для канц.ножа, шт;;;;;4,000;80,00;200,00
Лейка KT-036 17,5 см. (480), шт;;;;;2,000;108,00;200,00
Лейка KT-037 15,5 см. (640), шт;;;;;1,000;55,00;100,00
Лента липкая от мух, шт;;;;;15,000;97,50;300,00
Лента светодиодная  неон 5м, шт;;;;;5,000;3 250,00;5 500,00
Лента светодиодная c блоком питания (белая), шт;;;;;1,000;510,00;870,00
Лента светодиодная SMD IP 20 5m (тёпло-белая), шт;;;;;1,000;250,00;430,00
Лента светодиодная SMD IP 65-4.8W 5m (белая), шт;;;;;1,000;250,00;430,00
Лента светодиодная YYC -5050 (управление с телефона ) RGB 10м, шт;;;;;2,000;860,00;1 500,00
Лента светодиодная YYC -5050-3 RGB 3м, шт;;;;;1,000;225,00;390,00
Лента светодиодная аккум.с пультом LA-109     1х450, шт;;;;;2,000;;900,00
Лента светодиодная с пультом RGB   5м 130-439, шт;;;;;5,000;1 300,00;2 750,00
Лента сигнальная для огражден.опасн.зон (100м) 7800, шт;;;;;8,000;1 040,00;2 000,00
Лимонное масло для грифа Monster Music FLO-50, шт;;;;;1,000;206,00;350,00
Лимонное масло для корпуса гитары Monster Music ELO-10, шт;;;;;1,000;343,00;580,00
Личинка для замка 70 мм, шт;;;;;1,000;400,00;670,00
Личинка для замка 80 мм, шт;;;;;1,000;180,00;350,00
Личинка для замка c вертушкой F70 мм , шт;;;;;1,000;205,00;350,00
Личинка для замка c вертушкой F90 мм , шт;;;;;2,000;450,00;780,00
Личинка для замка F70 мм, шт;;;;;2,000;350,00;640,00
ЛНКЛ1-(110-150/25-40) Накидка для клавишных, Lutner , шт;;;;;1,000;388,00;650,00
ЛНКЛ1-(110-150/35-50) Накидка для клавишных, Lutner, шт;;;;;3,000;1 164,00;1 980,00
ЛНКЛ1-(75-110/35-50) Накидка для клавишных, Lutner, шт;;;;;1,000;319,00;540,00
Ловушка для грызунов (мышей,крыс) клеевая, шт;;;;;7,000;210,00;490,00
Ловушка клеевая от тараканов , шт;;;;;11,000;209,00;440,00
Ложка для обуви    метал (40см)          , шт;;;;;2,000;60,00;120,00
Ложка для обуви   металл., шт;;;;;2,000;110,00;200,00
Ложка для обуви  нерж., шт;;;;;1,000;130,00;230,00
Ложка для обуви  нерж. мал., шт;;;;;3,000;135,00;270,00
Ложка для обуви  нерж.(длин), шт;;;;;1,000;150,00;270,00
Ложка для обуви  пластм., шт;;;;;5,000;60,00;250,00
Ложка заварник для чая (сито), шт;;;;;2,000;76,00;140,00
ЛРГА2 Ремень для акустической гитары под два держателя, цветной. Лютнер, шт;;;;;4,000;820,00;1 400,00
ЛРГА5 Ремень для акустической гитары под два держателя Лютнер, шт;;;;;2,000;456,00;840,00
ЛТ 18W/765 G13 d26х590mm 1050 lm 6500К-лампа (Смоленск-ФормулаСвета) (25), шт;;;;;12,000;1 006,20;1 800,00
Лупа  774-2ZXA  30-60-х подсв., шт;;;;;3,000;390,00;750,00
Лупа -очки 20-х кр.9892 H-1, шт;;;;;1,000;480,00;800,00
Лупа -очки BIGVISION, шт;;;;;1,000;140,00;380,00
Лупа 100мм 5-ти кр. 5012 , шт;;;;;1,000;420,00;700,00
Лупа 2-х 100мм металл. оправе, шт;;;;;2,000;220,00;400,00
Лупа 3-х--6х кр .с подсв. MG 4B-3, шт;;;;;2,000;220,00;400,00
Лупа 5ти кр. 60мм в золотой оправе, шт;;;;;6,000;480,00;1 200,00
Лупа 5ти кр. 80мм в золотой оправе, шт;;;;;3,000;390,00;720,00
Лупа 5ти кр. 90мм в золотой оправе, шт;;;;;2,000;290,00;520,00
Лупа 6901 A с подсветкой 8х-20 х, шт;;;;;1,000;110,00;190,00
Лупа 6901с1 с подсветкой 4-20 кр, шт;;;;;2,000;260,00;480,00
Лупа High Power d-100мм 4х-кратн., шт;;;;;2,000;380,00;680,00
Лупа High Power d-50мм 4х-кратн., шт;;;;;5,000;650,00;1 100,00
Лупа High Power d-75мм 4х-кратн., шт;;;;;2,000;320,00;560,00
Лупа High Power d-90мм 4х-кратн., шт;;;;;2,000;250,00;540,00
Лупа MG 89077 d=90мм х3-х6 кр., шт;;;;;1,000;185,00;320,00
Лупа MG-21007  мм подсв., шт;;;;;2,000;396,00;740,00
Лупа на глаз 6-х 10х-15х, шт;;;;;2,000;110,00;200,00
Лупа Орбита XX1051 (d60, ув.3х)/30, шт;;;;;1,000;40,00;75,00
Лупа пластмас. 40мм, шт;;;;;3,000;81,00;150,00
Лупа пластмас. 90мм, шт;;;;;3,000;159,00;285,00
Лупа с подсветкой BF017 5-х кр., шт;;;;;1,000;95,00;190,00
Лупа складная 2.5-х 50мм, шт;;;;;1,000;50,00;90,00
Лупа складная 3-х 50мм XX-1050  , шт;;;;;2,000;120,00;240,00
Лупа ТН-600555, шт;;;;;1,000;180,00;300,00
ЛЧБРП3 Чехол для барабанных палочек, Лютнер, шт;;;;;1,000;421,00;720,00
Магнит мебельный, шт;;;;;11,000;330,00;605,00
Магнит неодимовый квадратный B 10х10х2mm N35  69035, шт;;;;;4,000;144,00;260,00
Магнит неодимовый квадратный B 10х10х5mm N35 (91011), шт;;;;;3,000;96,00;180,00
Магнит неодимовый квадратный B 20х20х10mm N35H, шт;;;;;4,000;760,00;1 320,00
Магнит неодимовый квадратный B 3х3х2mm N35 69001, шт;;;;;4,000;36,00;80,00
Магнит неодимовый квадратный B 4х4х4mm N35  69006, шт;;;;;5,000;40,00;75,00
Магнит неодимовый квадратный B 5х5х5mm N35, шт;;;;;5,000;70,00;125,00
Магнит неодимовый квадратный B 7х7х7mm N35 69024, шт;;;;;4,000;160,00;280,00
Магнит неодимовый круглый 19,4х4,7mm под саморез 5mm N52, шт;;;;;1,000;110,00;185,00
Магнит неодимовый круглый D 10х10mm N35  69275, шт;;;;;3,000;165,00;285,00
Магнит неодимовый круглый D 12х3mm N35, шт;;;;;3,000;72,00;135,00
Магнит неодимовый круглый D 14х5mm N35, шт;;;;;5,000;300,00;500,00
Магнит неодимовый круглый D 20х2mm N35, шт;;;;;1,000;70,00;120,00
Магнит неодимовый круглый D 20х4mm N35, шт;;;;;1,000;50,00;85,00
Магнит неодимовый прямоугольный P 10х8х2mm N35, шт;;;;;6,000;150,00;270,00
Магнит неодимовый прямоугольный P 15х8х5mm N35  69164, шт;;;;;2,000;170,00;290,00
Магнит неодимовый цилиндр C 4х6mm N35  69391, шт;;;;;4,000;48,00;80,00
Магнит основа 19/20 (Бабурин) , шт;;;;;3,000;450,00;750,00
Магнит основа 19/20 (Еременко), шт;;;;;1,000;150,00;250,00
Магнит основа 19/20 (Карпин), шт;;;;;1,000;150,00;250,00
Магнит основа 19/20 (Кафанов), шт;;;;;3,000;450,00;750,00
Магнит основа 19/20 (Мамаев), шт;;;;;3,000;450,00;750,00
Магнит основа 19/20 (Попов), шт;;;;;3,000;450,00;750,00
Магнит ПВХ игроки ФК Ростов (Шомуродов в шапочке), шт;;;;;3,000;450,00;750,00
Магнитная планка держатель для ножей и инструмента 50см, шт;;;;;4,000;560,00;1 000,00
Макушка светодиодная большая цветная 130-254, шт;;;;;4,000;837,00;1 480,00
Макушка светодиодная маленькая К130-252, шт;;;;;1,000;60,45;120,00
"Малый барабан Brahner MSD-14""×5"", шт";;;;;1,000;2 715,00;4 650,00
Маркер двухстор. тонкий AR-1252, шт;;;;;2,000;48,40;80,00
Маркер перманент. 2004, шт;;;;;1,000;7,00;15,00
Маркер перманент. супертонкий AR-424, шт;;;;;11,000;169,84;330,00
Маршрутизатор Tenda F3 301 300 Мбит/с 2.4Ггц, шт;;;;;1,000;880,00;1 630,00
Маршрутизатор Tenda F6 2.4GHz  300 Мбит/с  , шт;;;;;1,000;1 290,00;2 190,00
Маска защитная , шт;;;;;25,000;62,50;125,00
Маска защитная желтая логотип х/б (0157), шт;;;;;2,000;320,00;480,00
Маска защитная логотип х/б  (0132), шт;;;;;1,000;160,00;240,00
Маска защитная с фильтром 8822, шт;;;;;6,000;390,00;660,00
Масло бытовое универс. 125мл. , шт;;;;;3,000;120,00;210,00
Масло машинное    50мл. (ср.), шт;;;;;4,000;200,00;360,00
Масло минеральное велосит-7 Solins 22ml + кисть, шт;;;;;2,000;94,00;160,00
Масло силиконовое ПМС-200 Solins 20ml + кисть (36284), шт;;;;;3,000;330,00;540,00
Масляный обогреватель Centek CT-6221-5 (белый) 5 секций (12.5м) 1000Вт, 3 режима защита от перегрева, шт;;;;;1,000;2 739,00;4 300,00
Масляный обогреватель Centek CT-6222-7 (белый) 7 секций (15м) 1500Вт, 3 режима защита от перегрева, шт;;;;;1,000;2 996,00;4 700,00
Массажная подушка Centek CT-2199 3.7 Вт, 7 режимов, 12 головок, ИНФРАКРАСНЫЙ ПРОГРЕВ, Li-ion 2000мАч, шт;;;;;1,000;1 733,67;2 780,00
Машинка для очистки ткани Centek CT-2470, 3 Вт, батарея, 3 лезвия х30 мм, шт;;;;;2,000;419,20;700,00
Машинка для очистки ткани Centek CT-2473, 3 Вт, аккумулятор, насадка для деликатных тканей, раб. 4см, шт;;;;;2,000;1 266,76;2 160,00
Машинка для стрижки Centek CT-2102 (черный/серый) 12 Вт, высококач.сталь, эргоном. дизайн, 4 насадки, шт;;;;;1,000;633,38;1 080,00
Машинка для стрижки Centek CT-2103 (черный/желтый) 12 Вт, высококач.сталь, шт;;;;;1,000;498,00;970,00
Машинка для стрижки Centek CT-2107 (сталь корпус) ПРОФЕССИОНАЛЬНАЯ LiION до 3,5ч  USB-С, LED, керам., шт;;;;;1,000;2 097,99;3 570,00
Машинка для стрижки Centek CT-2110 (чёрный/золотой) титановые ножи, прорезиненный корпус, шт;;;;;1,000;779,55;1 350,00
Машинка для стрижки Centek CT-2123 (черный/серебро) 10Вт, стальные лезвия, прорезиненный корпус, шт;;;;;1,000;612,30;1 080,00
Машинка для стрижки Centek CT-2126 (чер/зол) Triangular blades, производительный мотор, шнур 2,4м, шт;;;;;1,000;600,03;1 080,00
Машинка для стрижки Centek CT-2127 (чер/сер)  срез 0...12мм, производительный мотор, шнур 1.8м, шт;;;;;1,000;518,04;880,00
Машинка для стрижки Centek CT-2129 (чер/зол)  срез 0...12мм, производительный мотор, шнур 1.8м, шт;;;;;1,000;598,42;990,00
Машинка для стрижки Centek CT-2134 (чер/сталь)  3 насадки, USB зарядка, время работы 55 мин, шт;;;;;1,000;778,00;1 300,00
Машинка для стрижки Hoco DAR12, шт;;;;;1,000;1 350,00;2 180,00
Машинка для стрижки Hoco HP24, шт;;;;;1,000;800,00;1 440,00
Машинка для стрижки VGR-922 (портативная), шт;;;;;1,000;720,00;1 300,00
Машинка для стрижки Vintage LFQ-666-55 (83)(аккумулятор) , шт;;;;;2,000;840,00;1 540,00
Машинка для стрижки волос - T9 (BLT-24), шт;;;;;1,000;420,00;720,00
Машинка закаточная полуавтомат.МЗП 1-1, шт;;;;;1,000;440,00;750,00
Мегафон  XB-7S(15Bt), шт;;;;;1,000;1 552,00;2 650,00
Медиатор для открытия корпусов (пластик), шт;;;;;4,000;60,00;120,00
Медиаторы  Alice AP-12D  Монстры  , шт;;;;;18,000;167,94;450,00
Медиаторы Alice AP-100P,100A,100E   х20р., шт;;;;;73,000;244,55;1 095,00
Медиаторы Alice на большой палец .AP-3N, шт;;;;;3,000;141,99;270,00
Медиаторы Alice на палец .AP-3M, шт;;;;;14,000;905,38;1 680,00
Медиаторы МД1 (Федосов), шт;;;;;74,000;777,00;2 220,00
Металл.пластина для магнитн.держателей тлф, шт;;;;;10,000;150,00;500,00
Металлофон Brahner TL-15A   , шт;;;;;1,000;1 649,00;2 800,00
Метеостанция F- (беспроводн,датчик), шт;;;;;2,000;1 880,00;3 180,00
Метеостанция F-980 (беспроводн,датчик), шт;;;;;2,000;1 940,00;3 300,00
Метеостанция HTC-2, шт;;;;;1,000;260,00;470,00
Метеостанция TH-101 (термом,гигрометр), шт;;;;;1,000;190,00;350,00
Метротюнер Мозеръ MT520GW, шт;;;;;1,000;431,00;750,00
Механизм для настенных часов, шт;;;;;4,000;220,00;600,00
Мешок для пылесосов универс., шт;;;;;2,000;240,00;440,00
Микропереключ.с роликом LXW5-11G2 (концевик), шт;;;;;2,000;100,00;180,00
Микропереключатель Д703 (WK3-1) 250V 3A, шт;;;;;2,000;130,00;220,00
Микроскоп с подсветкой 60-x  кр.        9592, шт;;;;;4,000;712,24;1 200,00
"Микроскоп цифровой ""Орбита"" OT-INL40, шт";;;;;1,000;1 000,00;1 670,00
Микрофон Defender Mic 109 на прищепке, шт;;;;;2,000;260,00;500,00
Микрофон Defender-111 для компьют.     , шт;;;;;1,000;230,00;390,00
Микрофон JH-043 петличн., шт;;;;;2,000;300,00;580,00
Микрофон M-58, шт;;;;;1,000;520,00;950,00
Микрофон Ritmix RCM-110, шт;;;;;1,000;210,00;360,00
Микрофон Ritmix RCM-115 для комп-ра настольный., шт;;;;;1,000;160,00;300,00
Микрофон Ritmix- 130, шт;;;;;1,000;200,00;350,00
Микрофон Ritmix-210 петличный , шт;;;;;1,000;180,00;320,00
Микрофон SN-630 , шт;;;;;1,000;400,00;680,00
Микрофон беспроводной Ealsem ES-380 (головной), шт;;;;;1,000;1 350,00;2 250,00
Микрофон беспроводной RWM-422 ( 2 в комплекте), шт;;;;;1,000;1 500,00;2 700,00
Микрофон беспроводной WG192, шт;;;;;1,000;600,00;990,00
Микрофон вокальный  Ritmix- RDN155 , шт;;;;;1,000;900,00;1 530,00
Микрофон вокальный Ritmix RDM-130, шт;;;;;1,000;230,00;390,00
Микрофон вокальный Ritmix RDM-131, шт;;;;;1,000;275,00;470,00
Микрофон конденсаторн.настольный  Ritmix- 125  , шт;;;;;1,000;600,00;990,00
Микрофон настольный  Ritmix- 120    , шт;;;;;1,000;550,00;940,00
Миксер Centek CT-1108 (черный/сталь) 600Вт, 5 скоростей+турбо, взбивание/замешивание, шт;;;;;1,000;1 318,00;2 100,00
Миксер Centek CT-1125 (черный) 400Вт, 5 скоростей + турбо режим, взбивание/замешивание, шт;;;;;1,000;967,00;1 600,00
Миксер Centek CT-1126 800Вт, 5 скоростей + турбо режим, плавный старт, взбивание/замешивание, шт;;;;;1,000;1 890,58;2 950,00
Миксер Centek CT-1127 (черный/беж) 250Вт, 5 скоростей, взбивание/замешивание, экол. пластик. корпус, шт;;;;;1,000;765,00;1 300,00
Миксер HAEGER HG-6635 (24), шт;;;;;1,000;474,00;1 050,00
Модем 4G Орбита OT-PCK29 USB Wi-Fi, шт;;;;;1,000;2 100,00;3 300,00
Молоток для мяса , шт;;;;;2,000;282,00;540,00
"Монитор 4,3"" для камеры заднего вида 430,431,432,433    , шт";;;;;1,000;850,00;1 450,00
"Монитор 5"" Eplutus-501  для камеры заднего вида , шт";;;;;1,000;1 150,00;1 950,00
"Монитор 7"" для камеры заднего вида TDS CAV09 (701), шт";;;;;1,000;1 600,00;2 700,00
Мост для скрипки Brahner KSHR-46    , шт;;;;;2,000;640,00;1 080,00
"Моторизированная световая ""мини-голова"", RGBW 7+7, шт";;;;;2,000;17 000,00;25 400,00
Мощный светодиод 1WR белый теплый (3000-3500K, 100-110lm, 3-3,4V, 350mA, 120°), шт;;;;;4,000;100,00;200,00
Мощный светодиод 1WR белый холодный (6000-6500K, 100-110lm, 3-3,4V, 350mA, 120°), шт;;;;;1,000;15,00;40,00
Мощный светодиод 3W зеленый (3,4-3,6V, 130-140lm, 45mil, 520-523Nm), шт;;;;;1,000;22,00;50,00
Мощный светодиод 3WR белый холодный (3,6V, 200-220Lm, 6500-7000K)48166, шт;;;;;5,000;225,00;400,00
Мультимедиа ресивер Android+ DVB\T2 Digifors Smart 200, шт;;;;;1,000;2 800,00;5 800,00
Мультиметр  NIT DT-39 A, шт;;;;;1,000;1 505,00;2 550,00
Мультиметр DT-182, шт;;;;;2,000;520,00;940,00
Мультиметр DT-266, шт;;;;;1,000;420,00;730,00
Мультиметр DT-700           , шт;;;;;1,000;240,00;550,00
Мультиметр DT-830 , шт;;;;;2,000;552,00;840,00
Мультиметр DT-830 (резин.калоше цифр.) LP, шт;;;;;1,000;330,00;560,00
Мультиметр DT-831, шт;;;;;2,000;540,00;920,00
Мультиметр DT-832          1х330, шт;;;;;4,000;720,00;1 400,00
Мультиметр DT-9208, шт;;;;;2,000;880,00;1 800,00
Мультиметр цифровой DT838, шт;;;;;1,000;250,00;470,00
Мультиметр цифровой автомат. 899с (S1385), шт;;;;;1,000;1 250,00;1 990,00
Мультипекарь электрический Sokany SK-08063 7 в 1, шт;;;;;1,000;2 738,85;4 350,00
Мухобойка пласт., шт;;;;;4,000;28,00;100,00
Мухобойка электр., шт;;;;;1,000;260,00;580,00
Мышеловка дерев., шт;;;;;1,000;45,00;80,00
Мышеловка дерев. ЧД, шт;;;;;6,000;150,00;270,00
Мышеловка пластик., шт;;;;;7,000;98,00;210,00
Мышь DEFENDER Alpha MB-507 проводная оптическая черн,3D,бесшумная,1,8м, шт;;;;;1,000;115,00;200,00
Мышь Defender Datum MM-296черный, беспроводная, шт;;;;;1,000;260,00;450,00
Мышь Defender Hit MM-495 черный, 3 кнопки, 1600dpi, беспроводная, шт;;;;;1,000;180,00;340,00
Мышь SmartBuy 358AG беспроводная., шт;;;;;2,000;440,00;760,00
Мышь для комп/ Ritmix-210      USB, шт;;;;;3,000;360,00;690,00
Мышь для компьютера Defender -997 (беспр.) бесшумн., шт;;;;;3,000;960,00;1 650,00
Мышь для компьютера Smart Buy ONE 352  проводн, шт;;;;;2,000;300,00;520,00
Мышь для компьютера Smart Buy-214, шт;;;;;2,000;270,00;500,00
Мышь для компьютера Smart Buy-329, шт;;;;;1,000;135,00;230,00
Мышь игровая Ritmix -363  , шт;;;;;2,000;840,00;1 380,00
Мясорубка Centek CT-1609 White, 1550Вт, реверс, 2 диска, стальной нож и узлы, шт;;;;;1,000;2 262,00;3 850,00
Мясорубка Centek CT-1619 <1550 Bт> отсек для дисков, 2 диска 5/7мм, реверс, 1.5 кг мяса /1мин, шт;;;;;1,000;2 059,00;3 500,00
"Набор 6 шампуров ""Эконом"", 450 мм, уголок, в упаковке, шт";;;;;1,000;175,10;290,00
Набор д\бритья Рапира (5лезвий), шт;;;;;4,000;480,00;880,00
Набор для маникюра Centek 2184, шт;;;;;1,000;403,34;690,00
Набор для маникюра Centek 2188, шт;;;;;1,000;;550,00
Набор для пайки Techno (4 предм.), шт;;;;;3,000;384,00;660,00
Набор для раковины сито и пробка, шт;;;;;1,000;45,00;100,00
Набор для распиновки разъемов и контактов (18 в 1), шт;;;;;1,000;210,00;350,00
Набор для стрижки Centek CT-2131 (чёрный) 3 В1 + СТРИЖКА + БРИТВА + ТРИММЕР ДЛЯ НОСА, шт;;;;;1,000;1 766,80;2 980,00
